0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.97000015,-0.5,-3.179999,-0.5400001,-0.36499998,-0.5,-0.6600001,-0.8000001,1.2299981,-2.2674906,-0.5,-0.8000001,-0.7300001,-0.33,-0.51000005,-0.63000005,-1.9000003,-0.9400001,-2.4924967,-0.4
-1.2624682,-0.8925001,-2.3420117,0.23650002,-1.861699,-0.78500015,-0.3290004,-0.8040012,1.523696,0.8794138,-0.8005003,-0.675,-1.0665001,-0.16749993,-0.52000004,0.27200022,-1.9474975,1.031975,-0.9530137,-0.28750002
-0.9950002,-0.34,-2.8989983,-0.445,0.0050001815,-0.34,-0.48999998,-0.25999996,1.4817433,-1.6403695,-0.62,-0.30499992,-0.44500002,-0.23999998,-0.53000003,-0.22999996,-2.4899998,-1.185,-1.7064878,-0.6
-1.3874999,-0.2,-3.3099988,-0.6700001,-0.41999993,-0.6,-0.62,-0.7100001,2.2115006,-1.9738823,-0.8000001,-0.6100001,-0.3,-0.41,-0.44,-0.8300001,-1.7590002,3.0430002,-1.8294919,-0.4
-1.4940009,-0.25,-2.6085937,-0.024999961,-1.0600004,-0.70000005,-0.7550001,-0.8510002,2.0069995,-0.92057943,-0.62,-0.8000001,-0.7380001,-0.415,-0.25,-0.70500004,-3.4799986,0.24299994,-1.3489668,-0.48000008
-1.7600001,-0.305,-3.038198,-0.5899999,-0.6949999,-0.6,-0.6250001,-0.8050002,1.852095,-0.90619296,-0.53000003,-0.80000025,-0.365,-0.42,-0.48,-1.1,-2.6735992,0.9985981,-1.6254717,-0.6600001
-0.9650002,-0.4,-3.461998,-0.22,0.35500005,-0.3,-0.4,-0.56000006,1.1180422,-1.5124669,-0.6,-0.8300001,-0.53000003,-0.255,-0.82000005,-0.8400001,-2.4099998,0.45699975,-2.239991,-0.5
-0.004800275,0.29500002,-1.343297,-0.64,-0.93950105,0.013000011,-0.037000004,-0.9575004,2.5654995,-1.2234123,-0.06999997,-0.7250001,0.17250007,-0.49499995,0.20500004,-0.18499993,-2.3979995,-1.9515009,-1.0116622,-0.42000005
-0.7980002,-0.11000001,-0.389403,-0.97000015,-0.8950003,-0.12,-0.21499997,-0.89900005,0.7604981,-1.8504931,-0.47,-0.59900004,-0.23000002,-0.70000005,-0.54,-0.89900005,-1.8090003,-0.83150023,-1.6294963,-0.4
-0.4800009,-0.31,-0.6965071,-0.81000006,-1.5300003,-0.53000003,-0.33999994,-0.585,2.0645213,-1.454071,-0.009999976,-0.67,-0.3830001,-0.7100001,-0.58000004,-0.6350001,-2.4229994,-1.6000005,-1.3694689,-0.6600001
-1.1573889,-0.48799983,-1.237668,-0.7582903,-0.8571767,0.23680004,-1.4200008,-0.3880915,0.115653515,3.0056179,-1.7225006,-1.0132794,-1.1569906,-0.8210008,-1.5895002,-0.22448948,-0.8954308,-0.038746774,-1.2425252,-0.24569985
-1.9174998,-0.18599999,-1.0914128,-1.3400003,-0.8844671,-0.8400001,-0.1909999,-0.9580004,3.367659,-0.27831095,-0.07499994,-1.1660001,-0.17499998,0.64899987,-1.07,-0.78700006,-4.002497,-2.7079988,-1.179803,-0.76000017
0.13829887,0.06600004,-0.10276321,-0.08099999,-1.3118007,-0.32999995,0.59,-1.3610001,3.500245,-1.8190387,0.71,-1.0675004,0.13899972,-0.44000003,0.43000007,-1.2650001,-3.4382982,-2.1634998,-0.9357217,-0.45
-1.0100001,-0.2,-0.974999,-0.6100001,-0.7800001,-0.2,-0.17500001,-0.43999997,0.11000017,-2.8274946,-0.4,-0.64000005,-0.41,-0.2,-0.22,-0.6300001,-1.7150002,-1.4100002,-2.0299969,-0.5
-0.778501,-0.135,-2.055989,-0.6600001,-0.18800011,-0.15,-0.030000038,-0.5259999,1.9831505,-0.8355125,-0.33999994,-1.0300002,-0.48999992,-0.475,-0.22999996,-0.9650004,-3.4894989,-2.6589994,-1.2947103,-0.59000015
-0.032500304,-0.66,-0.51227134,-0.86000013,-1.8125005,-0.6600001,-0.33299997,-0.9850002,2.891788,-1.9163532,0.100000106,-0.69299996,-0.65000033,-0.09999997,-0.44439998,-0.87,-2.8204987,-1.1094998,-0.45185435,-0.069999985
-0.49200147,-0.08749997,-1.2127831,-0.72650015,-1.0382022,-0.36999997,-0.27499983,-1.1400002,1.727337,0.095202155,-0.19249994,-1.0450003,-0.41,-0.42000002,-0.29749995,-0.75250006,-2.2095969,-2.2224991,-1.4246923,-0.59250003
-1.5511897,-0.27799994,-1.4953554,0.08450013,-1.918191,0.13600007,-1.8580017,-1.2511202,0.1614384,2.8408656,-0.8320012,-1.6880006,-0.0029998869,-0.15299995,-1.7440001,0.023399204,-0.07959823,0.6317856,-1.0063847,-0.3229999
-1.3190004,0.014999986,-1.3952956,-0.46699995,-0.8530002,-0.26,-0.8640001,-0.8600001,-0.624554,-0.55448127,-0.62200004,-0.39199996,-0.47499993,-0.35199997,-0.7700001,-0.392,-0.47850126,1.0891975,-2.6274729,-0.36999997
-1.0000002,-0.25,-2.0169992,-0.35,-0.9800002,-0.17000002,-0.41,-1.0950003,-0.081549816,-0.17536256,-0.44,-0.39499998,-0.63,-0.13,-0.4,-0.7700001,-1.1234999,-1.815,-2.9564872,-0.67
-0.33240145,-0.5700002,-0.7499642,-0.47899988,-0.98950213,-0.18499996,-0.40049976,-0.73350054,0.65943795,0.46745476,0.12200008,-1.0600011,0.29200017,0.47199968,-0.9200001,-0.85800004,-2.4265695,-2.009,-0.88887525,-0.6949999
-1.0859996,-0.19000003,-1.0997456,-0.52500004,-1.5950006,-0.2,-0.59999996,-0.7600002,1.9305515,-1.9750208,-0.42000002,-0.7350001,-0.30000007,-0.6,-0.41,-0.685,-2.25,-2.1450005,-1.140228,-0.7550001
-0.6313234,-0.9519998,-0.08799153,-1.5052005,-0.043903716,0.5011496,-1.086602,-0.47287142,-0.97651756,4.3082643,-1.2315005,-1.6912007,-1.4527014,-0.50660014,-1.5860018,-0.6349001,-0.23069218,0.2985929,-0.8057916,-0.5173515
-0.83500063,-0.38,-1.7739904,-0.7100001,0.99199945,-0.27,-0.5000001,-0.42000014,0.6073979,-0.04310508,-0.19,-0.40000015,-0.47,-0.39999998,0.039999984,-0.88000023,-0.40910152,-2.4750001,-2.2094748,-0.7700001
