0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.42000002,-0.021500323,-0.5,-0.2,-0.21000001,-0.050000653,-1.9600002,-0.87999994,-0.82500017,-0.35599953,-1.1500001,-0.13299981,-0.2,0.31300095,-2.3781903,0.7354952,-2.41453,-2.2319999,-0.2,-0.2,-0.67949986,-1.0,-0.3599997,-0.6,-0.2,-1.0,0.53760445,-2.1270018,-0.2,-0.2,-2.6335824,-0.40199995,-0.2,-0.18770011,-0.19949833,-0.96200216,-0.98,-0.6,-0.4,-0.4,1.4860041,-0.2,-2.2000003,-0.2,2.304396,-0.3540006,0.103000216,-0.6494999,-1.01,-0.69499993
0.25539884,-1.4270002,-0.2,-0.1,1.1109992,-0.19439943,-2.1559997,-1.51,-1.7754997,0.76111394,-1.8544999,-1.7919999,0.0,-0.43149912,-0.89100003,0.61000144,0.12899932,-0.20850018,0.17999999,-0.2,-1.6823995,-0.64,-1.6500001,-0.4,-0.792,-0.53999996,1.0075074,-0.9284993,-0.2,0.14,-2.215497,-0.33849996,-0.2,-0.07330068,1.5290096,-0.3224984,-0.62899977,-0.44,-0.2,-0.22000001,0.5590039,-0.24,-2.4400003,-0.64,2.2799692,-1.4550024,-0.7864993,-0.2549986,-0.89,-0.5519999
-1.6040016,-2.214,-0.4,-0.4,0.4020004,0.11169932,-1.4559994,-1.22,-1.271999,-1.3482981,-1.2389997,-1.2669998,-0.2,-1.3420011,-0.22749946,0.25858933,-1.9550008,-0.9689989,-0.2,-0.2,-0.69599795,-0.6,-0.45449987,-0.2,-0.8,-0.8,1.3060071,-0.0430998,0.16800001,-0.060000002,-2.6609902,-0.04100001,-0.4,-0.72599816,1.1985995,-1.5914996,-0.8840001,-0.8,-0.4,-0.6,0.5027558,-0.2,-2.2200003,-0.4,3.1529872,0.08099577,0.21099989,-0.2679001,-1.12,-0.78999996
-1.0949999,-1.9300002,-0.2,-0.6,-0.44,-1.1329998,-1.571,-1.2659999,3.6331034,0.54100746,-0.7925003,-3.0605009,-0.060000002,-1.4899999,-1.3120002,0.8110365,0.17799987,0.6020099,0.0,0.14,-0.03800001,-0.68,-0.1190003,-0.45999998,-0.45999998,-1.08,-0.010001771,-0.94499964,0.0,0.0,-2.6739836,-0.303,-0.2,-0.30225033,-2.61,-1.0564983,-0.44399995,-0.48000002,0.14,-0.4,0.8125128,0.11999999,-1.3000002,-0.48000002,1.989504,-0.50999695,-0.24300018,-1.9310002,0.7420089,-1.2139995
-0.66028684,-0.79219645,-0.714,-0.223,0.27300036,0.30501077,-0.28419584,-1.0331448,2.5444498,0.3561954,-0.7099237,-0.22356844,-0.06499997,-0.727766,-0.66115373,0.4801106,0.05931972,-0.12811483,0.63400006,-0.61,-0.16977756,-0.8819998,-0.17234696,0.12399977,-0.9249998,-0.094199575,1.090504,0.046800844,-0.595,0.15000007,2.9325206,-0.84149987,0.2620003,0.0048965923,0.32153246,-0.63438344,-1.5448002,0.28800017,-0.009999946,-0.5749999,0.53218704,-1.4750001,-0.81905943,-0.4959999,1.1491834,-0.15355018,-0.22354774,-1.2049482,0.9806913,-1.0224652
-0.107499756,-1.8365005,-0.08,-0.4,-0.12750001,0.051998753,-1.5184991,-2.1121993,2.2204022,1.214028,-1.4654016,-1.4710894,-0.36,-1.3457506,-0.43356127,0.47130546,0.39086196,1.0792348,-0.08,-0.7,0.020200074,-0.59,-0.12345131,-0.65,0.11,-1.0799999,1.0766553,-1.1370022,-0.35999998,-0.1,-0.16580833,-0.072999984,-0.009999998,0.13926345,-3.2860022,-0.82679296,-0.5734994,-0.39999998,-0.18,-0.4,0.6170818,-0.26,-2.4360003,0.050000012,1.2510273,-0.027001407,0.41270116,-2.5159996,-0.20575042,-0.51124394
-0.7699999,-1.58,-0.4,0.0,-0.16,-2.114,-0.00999985,-1.3000002,3.9258885,0.19700053,-0.005499929,-2.8185022,-0.2,-0.99999994,-1.5844986,0.5611899,-0.07349967,1.0568951,0.0,0.0,0.43625143,-0.42000002,-0.7710001,-0.2,-1.2,-0.82,-0.094501846,-1.2900012,0.0,0.0,-3.3409743,-0.31,0.0,-0.5739986,-2.402,-1.2704958,-0.63,-0.22000001,-0.2,0.0,1.0297523,-0.22000001,-2.2800004,-0.02000001,1.8318022,-0.19649966,-1.2089998,-1.8300002,1.4210024,-1.4430001
-0.8249995,-1.4905006,-0.4,-0.4,-0.42999998,-1.0260004,-1.1099999,-2.3079998,4.0185857,-0.19575015,-1.7409999,-2.8376,-0.2,-1.0079999,-1.7925969,0.86092854,0.21584871,0.3518106,0.0,-0.4,-0.2044994,-0.24,-0.23362027,-0.34000003,-0.46000004,-1.1999999,0.5961991,-2.36,0.0,-0.2,-1.7801151,-0.33999997,-0.4,-0.26109856,-0.64199924,-0.9410022,-0.38999993,-0.16000004,-0.4,-0.4,0.56280595,-0.48000002,-2.005001,-0.34000003,1.9551048,0.10639992,-0.024999779,-2.1000004,1.5811954,-2.001
-0.90849996,-1.702,-0.2,-0.2,-0.21000001,-0.70049906,-1.5739999,-1.8940002,4.987316,-0.7228371,-0.48749918,-2.7114697,-0.2,-0.8064999,-0.8589994,0.4362894,0.16965023,0.94859767,-0.2,-0.2,-1.3959994,-0.8,0.22512053,-0.4,-0.4,-1.0,0.23899904,-2.22,-0.2,-0.4,-2.8273597,-0.27200007,-0.4,-0.24799944,-2.7230008,-1.8700012,-0.62,-0.4,-0.4,-0.2,0.4595125,-0.2,-2.0200007,-0.6,2.189877,-0.6700993,-1.7684991,-1.5400001,-0.21813203,-1.4670006
-1.5324997,-1.5220013,-0.6,0.207,0.004999999,-0.8072998,-0.22684987,-1.729302,3.3844373,-0.9481438,-0.3443488,-1.3448768,-0.533,-0.7959996,-0.9005553,0.48486373,-0.021549456,-0.06715003,-0.4,-0.4,0.1467992,-0.97799987,-0.005846576,0.33800003,-1.32,-0.6809998,1.2684957,-0.6584499,-0.5,0.29900002,0.07911113,-0.47599986,0.235,-0.22100158,-1.2090012,-0.41347128,-0.9774318,0.18000005,-0.09999998,-0.099999994,0.37499818,-0.84,-1.4670005,0.07,0.93688613,-0.2094024,-0.9251979,-1.6555004,2.3532822,-1.8620033
