0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-2.2199714,2.0745046,-0.10800034,-0.7609998,-0.92299974,-2.5104942,-0.17200051,-0.16000028,-0.9344992,-1.4559983,0.87400055,-0.59200054,-2.4709983,-0.47000027,-0.9134938,-0.8119997,-1.0639994,1.2315073,-0.6554957,-0.5360002
0.9082728,0.38212553,0.44300547,-0.77591056,-0.21029723,-0.95339257,0.666457,-0.14540735,-0.53160286,-0.76432985,1.5601974,0.51808435,-1.723763,-1.286314,-0.39039633,-1.4414371,-1.3567612,1.1563091,-0.22680345,-0.38272798
-0.70085573,1.5688382,0.3858984,-1.0494221,-0.77039653,-2.3231752,0.63720405,0.013206009,0.6184018,-1.9119929,0.10610123,-0.9272008,-2.414583,-1.313499,-0.91589016,-0.12540086,-1.6439977,0.49070776,-0.25120014,-0.3686001
-1.9076489,1.8630521,-0.5237001,-0.8059997,-0.9454994,-1.9285889,-0.22820064,0.1354992,-1.2379984,-1.6187956,2.5410047,0.042600024,-2.6417978,-0.6406001,-0.412199,-1.2041987,-1.2819995,1.1846154,-0.9199936,-0.5710005
-0.48730725,1.0068434,0.5027485,-1.0351778,-0.84871066,-2.218807,0.52359587,0.16431998,-1.190209,-1.7142057,1.5088044,-0.6443403,-2.4704607,-1.663697,-0.5743191,-0.898454,-1.7956948,1.107776,-0.2218025,-0.41380134
-0.49935827,1.1744837,0.5358812,-1.2312769,-0.62259716,-2.3178298,0.67090243,-0.113577604,-0.95661557,-1.5905278,1.7355527,-0.26749995,-2.587321,-1.3572183,-0.54211766,-0.71153694,-1.7979956,1.205969,-0.04060681,-0.17672095
-0.695558,1.528325,0.34059912,-0.9959995,-1.0195965,-1.6075773,0.1523995,-0.3056008,-0.5596014,-1.3569963,0.79540056,-0.46800062,-2.4989898,-0.77359974,-0.9279948,-1.0992981,-1.2875978,0.083597675,-0.19949973,-0.48650017
-0.16419624,-0.69684124,-0.23541887,-0.008722892,1.2514368,-0.03999137,0.36528882,-0.4546084,0.42319804,-1.4584846,-0.6586905,-1.0295954,-1.3539078,-1.1820354,-0.8039579,0.38583866,0.3671326,-0.49639818,-0.948838,-0.46464133
-1.215772,-0.5078165,-1.1663191,-0.40700102,-0.0022619236,-0.6887989,-0.696999,-0.42270526,-1.0469997,-0.005601124,-0.6559384,-0.3189809,-1.6062921,-0.23796073,-0.35539943,-0.237,0.35975945,-1.3338133,-0.23390593,-0.47930023
0.07778678,-0.64460343,-0.21250087,-0.6439018,-0.4833062,-0.780699,0.3957022,-0.75776935,-1.0186938,-0.7320009,-1.3496917,-0.45539483,-1.6703562,-1.1147968,-0.4000822,0.087900855,1.2408458,-1.0996766,-0.8277907,-0.32430127
